               0          1        2        3        4        5        6        7        8        9        10       11       12      13      14      15      16      17      18      19      20      21      22      23      24      25      26
113        011.60         14        6        5        2        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
114        011.61          1        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
115        011.62          1      NaN      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
116        011.63         35       24        6        1        3        1      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
117        011.64          9        7      NaN        2      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
118        011.65          4        3      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
119        011.66          8        5      NaN        1        1        1      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
120        011.70          1        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
121        011.73          1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN        1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
122        011.74          1      NaN      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
123        011.80         20        2        7      NaN        1        6        1        2      NaN      NaN        1      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
124        011.83         19       12      NaN        2      NaN        3      NaN      NaN        1        1      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
125        011.84         14        9      NaN      NaN      NaN        1        3      NaN      NaN      NaN      NaN      NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
126        011.85          3      NaN      NaN      NaN      NaN        2      NaN      NaN      NaN      NaN      NaN        1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
127        011.86          6        5      NaN      NaN      NaN      NaN      NaN      NaN        1      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
